App Name,Category,Free,Currency,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Gakondo,Adventure,TRUE,USD,7.1 and up,Jean Confident Ir??n??e NIYIZIBYOSE,https://beniyizibyose.tk/#/,jean21101999@gmail.com,"Feb 26, 2020","Feb 26, 2020",Everyone,https://beniyizibyose.tk/projects/,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Ampere Battery Info,Tools,TRUE,USD,5.0 and up,Webserveis,https://webserveis.netlify.app/,webserveis@gmail.com,"May 21, 2020","May 06, 2021",Everyone,https://dev4phones.wordpress.com/licencia-de-uso/,TRUE,FALSE,FALSE,2021-06-15 20:19:35
Vibook,Productivity,TRUE,USD,4.0.3 and up,Cabin Crew,,vnacrewit@gmail.com,"Aug 9, 2019","Aug 19, 2019",Everyone,https://www.vietnamairlines.com/vn/en/terms-and-conditions/privacy-policy,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Smart City Trichy Public Service Vehicles 17UCS548,Communication,TRUE,USD,4.0.3 and up,Climate Smart Tech2,http://www.climatesmarttech.com/,climatesmarttech2@gmail.com,"Sep 10, 2018","Oct 13, 2018",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:35
GROW.me,Tools,TRUE,USD,4.1 and up,Rafal Milek-Horodyski,http://www.horodyski.com.pl,rmilekhorodyski@gmail.com,"Feb 21, 2020","Nov 12, 2018",Everyone,http://www.horodyski.com.pl,FALSE,FALSE,FALSE,2021-06-15 20:19:35
IMOCCI,Social,TRUE,USD,6.0 and up,Imocci GmbH,http://www.imocci.com,info@imocci.com,"Dec 24, 2018","Dec 20, 2019",Teen,https://www.imocci.com/wp-content/uploads/2018/08/Datenschutzerkl??rung_IMOCCI_22072018.pdf,FALSE,TRUE,FALSE,2021-06-15 20:19:35
unlimited 4G data prank free app,Libraries & Demo,TRUE,USD,4.1 and up,android developer779,,aitomgharfatimezzahra@gmail.com,"Sep 23, 2019","Sep 27, 2019",Everyone,https://sites.google.com/view/unlimited4gdataprank,TRUE,FALSE,FALSE,2021-06-15 20:19:35
The Everyday Calendar,Lifestyle,TRUE,USD,5.0 and up,Mozaix LLC,,elementuser03@gmail.com,"Jun 21, 2019","Jun 21, 2019",Everyone,https://www.freeprivacypolicy.com/privacy/view/978b22a2fd432de423de81e4ac91d571,FALSE,FALSE,FALSE,2021-06-15 20:19:35
WhatsOpen,Communication,TRUE,USD,4.4 and up,Yilver Molina Hurtatiz,http://yilvermolinah.com,yilver.mh1996@gmail.com,,"Dec 07, 2018",Teen,http://elcafedelamanana.yilvermolinah.com/policy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Neon 3d Iron Tech Keyboard Theme,Personalization,TRUE,USD,4.1 and up,Free 2021 Themes for Emoji keyboard,https://trendyteme888-31139.web.app,trendyteme.888@gmail.com,"Sep 22, 2019","Oct 07, 2020",Everyone,http://bit.ly/EmojiThemePro,TRUE,FALSE,FALSE,2021-06-15 20:19:35
Dodge The Cars!,Racing,TRUE,USD,4.4 and up,MrScratch,,mithalaarush@gmail.com,"Jul 30, 2020","Jul 30, 2020",Everyone,https://docs.google.com/document/d/1HTtvenbfLk62rIRKzmE0pYD1tFQBhZwWfXrhRBQb_Xw/edit?usp=sharing,FALSE,FALSE,FALSE,2021-06-15 20:19:35
Parents,Maps & Navigation,TRUE,USD,4.0 and up,Eqra Tech,http://www.hafizquran.com,hhiyassat@eqratech.com,"Jan 10, 2018","Jun 27, 2018",Everyone,https://docs.google.com/document/d/1fpoF-YmfcVQsZUQhhDjZEj09B3tCvc972aDukdFYmjY/edit?usp=sharing,FALSE,FALSE,FALSE,2021-06-15 20:19:36
ë≠üÜ??ë??Üˇ?ëç˙ÇÅ?ë??Ü?Øä≠? - ëç˙ÇÅ?ä´?Ñ??ä˙?á˙?Ü®ÆÇ??ë?ùä?õ(ë??ëè?Üè¯Ü??ëç˙ÇÅ?),Travel & Local,TRUE,USD,4.2 and up,Jie App,https://jie-app.herokuapp.com/,jie.myapp@gmail.com,"Apr 3, 2018","Jun 11, 2021",Everyone,http://appsetting.blogspot.tw/2017/02/jie-app.html,TRUE,FALSE,FALSE,2021-06-15 20:19:36
be.MOBILISED,Maps & Navigation,TRUE,USD,6.0 and up,has.to.be gmbh,http://www.has-to-be.com,support@has-to-be.com,"Feb 9, 2020","May 14, 2021",Everyone,https://has-to-be.com/de/ueber-uns/datenschutzrichtlinien/,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Caliway Conductor,Travel & Local,TRUE,USD,4.2 and up,WayCali,https://www.facebook.com/waycali,waycalicol@gmail.com,"Sep 5, 2018","May 30, 2020",Everyone,https://www.facebook.com/waycali,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Readymade Grocery App,Food & Drink,TRUE,USD,4.4 and up,pietechsolution,https://www.ionicfirebaseapp.com/products/readymade-grocery-online-store,info@ionicfirebaseapp.com,"Apr 5, 2020","Mar 23, 2021",Everyone,https://www.ionicfirebaseapp.com/contact,FALSE,FALSE,FALSE,2021-06-15 20:19:36
OTENTIK Discovery FR,Travel & Local,TRUE,USD,4.4 and up,Hotels Attitude,http://www.hotels-attitude.com,info@hotels-attitude.com,"Nov 28, 2016","Oct 30, 2019",Everyone,http://camineo.com/w7WEW99wBsdTH2FuyOeTQACM6mcmH9Kf/CamineoPrivacy-v1.0.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:36
All in one shopping app,Tools,TRUE,USD,4.1 and up,TK Applications,,tkapplications001@gmail.com,"Apr 24, 2019","May 05, 2019",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:36
