App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.ishakwe.gakondo,0,0,10+,10,15,0,10M
com.webserveis.batteryinfo,4.4,64,"5,000+",5000,7662,0,2.9M
com.doantiepvien.crm,0,0,50+,50,58,0,3.7M
cst.stJoseph.ug17ucs548,5,5,10+,10,19,0,1.8M
com.horodyski.grower,0,0,100+,100,478,0,6.2M
com.imocci,0,0,50+,50,89,0,46M
getfreedata.superfatiza.unlimitedjiodataprank,4.5,12,"1,000+",1000,2567,0,2.5M
com.mozaix.simoneboard,2,39,500+,500,702,0,16M
com.whatsopen.app,0,0,10+,10,18,0,1.3M
com.ikeyboard.theme.neon_3d.iron.tech,4.7,820,"50,000+",50000,62433,0,3.5M
com.MrScratchEnterprises.CarDogeGame,4.9,55,100+,100,329,0,51M
com.eqra.android.BSTS.parent,0,0,100+,100,330,0,2.7M
com.jieapp.taoyuanmetro,3.9,118,"10,000+",10000,37763,0,7.6M
com.hastobe.bemobilised,0,0,100+,100,274,0,15M
com.caliwayconductor.driver,3.7,1572,"10,000+",10000,42856,0,29M
com.ionicfirebaseapp.readymadegroceryuserapp,4.2,16,"1,000+",1000,4313,0,12M
com.camineo.otentikdiscoveryDLFR,3.4,5,500+,500,949,0,2.9M
com.tkapplications.allinoneshoppingapp,5,6,50+,50,62,0,2.0M
com.grit.redmond,3.7,328,"10,000+",10000,31235,0,70M
com.felingdev.lowalpaper,0,0,1+,1,2,0,11M
np.com.NepaliCongress,0,0,100+,100,336,0,24M
com.bhavans.vim,0,0,10+,10,31,0,1.4M
com.mailbeegames.casual.brain.line.block.puzzlegame,4.4,211,"10,000+",10000,15471,0,16M
com.bisgumah.barbie,3.8,736,"500,000+",500000,646456,0,20M
com.gary.randomnumber,4.2,35,"10,000+",10000,21124,0,2.4M
com.mitochondriastudios.stickyball,4.6,11,100+,100,152,0,25M
jp.ga_software.cubicrunner,0,0,"1,000+",1000,1068,0,16M
com.melonappsvpn.dj_carsounds,0,0,100+,100,396,0,21M
com.forumloft.schoolbus,4.1,27,"1,000+",1000,2414,0,11M
com.cambodia.ceapp,3.4,16,"1,000+",1000,3784,0,6.2M
com.phorest.barnetshair,0,0,100+,100,345,0,36M
nl.haveaniceday.gaiazoo,3.4,67,"10,000+",10000,30921,0,7.6M
image.photo.brightness.editor,2.5,21,"5,000+",5000,8984,0,6.2M
com.creepypasta.club,0,0,10+,10,22,0,6.1M
beyond.translinkbustracker,2.3,420,"50,000+",50000,74510,0,2.6M
apetra.tourguide,3.7,143,"10,000+",10000,43422,0,11M
com.andromo.dev667101.app672597,2.1,33,"10,000+",10000,19889,0,3.7M
com.RaySemiSoft.CalculusT1,0,0,100+,100,277,0,15M
com.bhappdevelopment.samuelvankuren,0,0,1+,1,2,0,10M
com.techzit.sudanflagwallpaper,0,0,100+,100,468,0,8.9M
com.rzmobile.buradaoto,4.9,102,"1,000+",1000,4103,0,3.9M
com.movenowcustomer,0,0,1+,1,2,0,30M
com.niagara.wallpapers.backgrounds_0001,5,11,500+,500,825,0,21M
com.creatorsbureau.extrudebalance,5,8,"1,000+",1000,3427,0,26M
com.one.click.wifi.tethering.free,2.7,420,"50,000+",50000,59427,0,4.9M
com.s3software.psychrometry,4.3,20,"1,000+",1000,1396,0,4.3M
com.game.bouncebubble,0,0,10+,10,37,0,4.8M
hoostcomv2.francisco,0,0,100+,100,229,0,4.6M
com.andromo.dev298605.app412818,3.8,13,"1,000+",1000,1079,0,2.8M
